Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,Compliance,Integrity Verification,EoX Status,Health Score
"Edge-Node,Physics DP",106-301-a-2.net.uwa.edu.au,10.88.24.77,Switches and Hubs,Global/CRAWLEY/106/Third Floor,Reachable,Supported,ac:bc:d9:04:25:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X, C9300L-48P-4X","FOC2604YJX6, FOC2629YLT6, FOC2542YLF4, FOC2617Z9NM, FOC2629YRCU",117 days 3 hrs ,9 minutes,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Aggregation Switch,Physics DP",106-301-g-1.net.uwa.edu.au,10.88.24.74,Switches and Hubs,Global/CRAWLEY/106/Third Floor,Reachable,Supported,c0:f8:7f:70:69:60,C9500-24Y4C,FDO26161SL0,3 days 5 hrs ,about 23 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",108-g03-a-1.net.uwa.edu.au,10.88.24.56,Switches and Hubs,Global/CRAWLEY/108/Ground Floor,Reachable,Supported,44:88:16:0c:a6:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2629YRFU, FOC2542YFMV, FOC2542Y3SE, FOC2542YKRP",117 days 4 hrs ,39 minutes,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,2,10
"Edge-Node,Physics DP",131-g16c-a-1.net.uwa.edu.au,10.88.24.33,Switches and Hubs,Global/CRAWLEY/131/Ground Floor,Reachable,Supported,80:24:8f:86:b5:00,"C9300L-48P-4X, C9300L-48P-4X","FOC2542YKYB, FOC2542YPBR",6 hrs 11 mins ,less than a minute,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Success,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
Edge-Node,139-211-a-1.net.uwa.edu.au,10.88.24.124,Switches and Hubs,Global/CRAWLEY/139/Second Floor,Reachable,Supported,4c:ec:0f:b9:a1:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2716YT8Z, FOC2716YV69, FOC2716YUZ7, FOC2716YV85, FOC2716YV72, FOC2716YUW4, FOC2716YV44",16 days 4 hrs ,about 21 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
Edge-Node,139-211-a-2.net.uwa.edu.au,10.88.24.125,Switches and Hubs,Global/CRAWLEY/139/Second Floor,Reachable,Supported,4c:ec:0f:ac:94:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2716YV33, FOC2716YSZ3, FOC2716YUVE, FOC2716YUZA, FOC2716YV7D",16 days 4 hrs ,about 20 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
Edge-Node,139-406-a-1.net.uwa.edu.au,10.88.24.129,Switches and Hubs,Global/CRAWLEY/139/Fourth Floor,Reachable,Supported,4c:ec:0f:b9:bd:00,C9300L-48P-4X,FOC2716YUT8,77 days 1 hr ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
Edge-Node,139-g08-a-1.net.uwa.edu.au,10.88.24.126,Switches and Hubs,Global/CRAWLEY/139/Ground Floor,Reachable,Supported,24:6c:84:0d:b9:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2716YU3U, FOC2716YV0F, FOC2716YVBN, FOC2716YT4M, FOC2716Y8N7",45 days 3 hrs ,about 19 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,[object Object],cat9k_iosxe.17.09.04a.SPA.bin,[object Object],17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
Edge-Node,139-g08-a-2.net.uwa.edu.au,10.88.24.127,Switches and Hubs,Global/CRAWLEY/139/Ground Floor,Reachable,Supported,4c:ec:0f:c7:2e:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2716YV2J, FOC2716YUV3, FOC2716YV3Y, FOC2714Z7GH, FOC2716YVBF, FOC2716YVE1, FOC2716YVEK",45 days 3 hrs ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
Aggregation Switch,139-g08-g-1.net.uwa.edu.au,10.88.24.122,Switches and Hubs,Global/CRAWLEY/139/Ground Floor,Reachable,Supported,24:d5:e4:79:aa:20,C9500-24Y4C,FDO275105KA,45 days 3 hrs ,about 22 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1,10
Extended Edge-Node,139-g51-e-1.net.uwa.edu.au,10.88.191.253,Switches and Hubs,Global/CRAWLEY/139/Ground Floor,Reachable,Supported,78:bc:1a:c9:b2:80,C9200-48P,JAD2318096Z,37 days 18 hrs ,3 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9200 Series Switches,Unsupported,,,cat9k_lite_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",142-g07a-a-1.net.uwa.edu.au,10.88.24.111,Switches and Hubs,Global/CRAWLEY/142/Ground Floor,Reachable,Supported,44:ae:25:28:00:00,"C9300L-48P-4X, C9300L-48P-4X","FOC2452LPH1, FOC2629YQNC",150 days 22 hrs ,3 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Physics DP",142-g07a-a-2.net.uwa.edu.au,10.88.24.103,Switches and Hubs,Global/CRAWLEY/142/Ground Floor,Reachable,Supported,c0:f8:7f:51:83:00,C9300L-24P-4X,FOC2618YGY6,150 days 23 hrs ,33 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Aggregation Switch,Physics DP",142-g07a-g-1.net.uwa.edu.au,10.88.24.99,Switches and Hubs,Global/CRAWLEY/142/Ground Floor,Reachable,Supported,48:2e:72:13:cc:00,C9500-24Y4C,FDO26161SN2,176 days 18 hrs ,about 23 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",142-g15a-a-1.net.uwa.edu.au,10.88.24.102,Switches and Hubs,Global/CRAWLEY/142/Ground Floor,Reachable,Supported,48:2e:72:49:1e:80,C9300L-24P-4X,FOC2617ZADE,36 days 3 hrs ,about 23 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",143-g37-a-1.net.uwa.edu.au,10.88.24.8,Switches and Hubs,Global/CRAWLEY/143/Ground Floor,Reachable,Supported,80:24:8f:86:b6:00,"C9300L-48P-4X, C9300L-24P-4X","FOC2542YKX3, FOC2529LJRR",117 days 2 hrs ,23 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Success,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Physics DP",144-201-a-1.net.uwa.edu.au,10.88.24.91,Switches and Hubs,Global/CRAWLEY/144/Second Floor,Reachable,Supported,3c:26:e4:05:c6:00,C9300L-48P-4X,FOC2629YQK4,117 days 2 hrs ,about 5 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Physics DP",190-b30-a-1.net.uwa.edu.au,10.88.24.60,Switches and Hubs,Global/CRAWLEY/190/Basement,Reachable,Supported,44:88:16:b1:b9:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2630YY7X, FOC2630YYED, FOC2630YY81, FOC2629YP3A, FOC2631Y094, FOC2631Y08H, FOC2629YNFD, FOC2629YRLE",117 days 2 hrs ,3 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Science DP",210-g88-a-1.net.uwa.edu.au,10.88.40.24,Switches and Hubs,Global/CRAWLEY/210/Ground Floor,Reachable,Supported,80:24:8f:a9:87:80,C9300L-48P-4X,FOC2542YPFR,77 days 22 hrs ,3 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Success,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Science DP",211-1100-a-1.net.uwa.edu.au,10.88.40.52,Switches and Hubs,Global/CRAWLEY/211/First Floor,Reachable,Supported,88:fc:5d:5f:37:00,"C9300L-48P-4X, C9300L-48P-4X","FOC2629YQNH, FOC2629YR7H",117 days 4 hrs ,28 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Aggregation Switch,Science DP",211-1100-g-1.net.uwa.edu.au,10.88.40.48,Switches and Hubs,Global/CRAWLEY/211/First Floor,Reachable,Supported,c0:f8:7f:70:83:a0,C9500-24Y4C,FDO26161SN7,117 days 4 hrs ,about 23 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Not Provisioned,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Science DP",211-1113-a-1.net.uwa.edu.au,10.88.40.53,Switches and Hubs,Global/CRAWLEY/211/First Floor,Reachable,Supported,3c:26:e4:06:0f:80,"C9300L-48P-4X, C9300L-48P-4X","FOC2629YQK1, FOC2629YQNP",117 days 4 hrs ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Science DP",211-2100-a-1.net.uwa.edu.au,10.88.40.54,Switches and Hubs,Global/CRAWLEY/211/Second Floor,Reachable,Supported,44:88:16:0e:bb:80,"C9300L-48P-4X, C9300L-48P-4X","FOC2629YRL2, FOC2629YQJC",117 days 4 hrs ,about 2 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Science DP",211-2113-a-1.net.uwa.edu.au,10.88.40.55,Switches and Hubs,Global/CRAWLEY/211/Second Floor,Reachable,Supported,5c:31:92:8b:22:80,"C9300L-48P-4X, C9300L-48P-4X","FOC2629Y5JP, FOC2629YMS9",117 days 4 hrs ,37 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Science DP",211-3100-a-1.net.uwa.edu.au,10.88.40.56,Switches and Hubs,Global/CRAWLEY/211/Third Floor,Reachable,Supported,3c:8b:7f:fb:6d:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2629YNG2, FOC2629YKCH, FOC2629YMZH",117 days 4 hrs ,less than a minute,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,10
"Edge-Node,Science DP",211-3112-a-1.net.uwa.edu.au,10.88.40.57,Switches and Hubs,Global/CRAWLEY/211/Third Floor,Reachable,Supported,f8:e9:4f:9a:f6:80,"C9300L-48P-4X, C9300L-48P-4X","FOC2629Y5FW, FOC2629YRP7",117 days 27 mins ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Science DP",211-4100-a-1.net.uwa.edu.au,10.88.40.58,Switches and Hubs,Global/CRAWLEY/211/Fourth Floor,Reachable,Supported,3c:26:e4:05:60:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2629YKCU, FOC2629YNFY, FOC2629YL7K, FOC2629YQJ2",117 days 32 mins ,13 minutes,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
"Edge-Node,Science DP",211-4113-a-1.net.uwa.edu.au,10.88.40.59,Switches and Hubs,Global/CRAWLEY/211/Fourth Floor,Reachable,Supported,3c:8b:7f:ce:23:80,"C9300L-48P-4X, C9300L-48P-4X","FOC2629YS05, FOC2629YS2B",117 days 28 mins ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,,,cat9k_iosxe.17.09.04a.SPA.bin,,17.9.4a,Device Uptodate,UPTODATE,Success,Success,Not Applied,17 days ago,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,1,8
