Tags,AP LED Flash Status,Device Name,IP Address,Device Family,Reachability,EoX Status,Manageability,Compliance,Health Score,Site,MAC Address,Device Role,Image Version,Uptime,Last Updated,Resync Interval,Serial Number,Device Series,Platform,Support Type,Software Image,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,Application Telemetry,Advisories,Integrity Verification
Edge-Node,Unsupported,338-173-a-1.net.uwa.edu.au,10.88.24.28,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/338/First Floor,18:59:f5:2e:41:00,ACCESS,17.9.3,11 days 23 hrs ,a few seconds ago,24:00:00,"FOC2604YJVN, FOC2604YJ09",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,338-211-a-1.net.uwa.edu.au,10.88.24.55,Switches and Hubs,Reachable,1,Managed,COMPLIANT,10,Global/CRAWLEY/338/Second Floor,ac:bc:d9:0f:2b:80,ACCESS,17.9.3,12 days ,an hour ago,24:00:00,"FOC2604YK6C, FOC2629YNEH",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,338-211-g-1.net.uwa.edu.au,10.88.24.32,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/338/Second Floor,20:cf:ae:58:91:e0,DISTRIBUTION,17.9.3,11 days 21 hrs ,13 hours ago,24:00:00,FDO25340DBD,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,338-g77-a-1.net.uwa.edu.au,10.88.24.37,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,10,Global/CRAWLEY/338/Ground Floor,14:a2:a0:87:84:00,ACCESS,17.9.3,11 days 21 hrs ,19 minutes ago,24:00:00,"FOC2604YK7T, FOC2629YRL8, FOC2630Y3CZ",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,12 days ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,345-197-a-1.net.uwa.edu.au,10.88.40.13,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/345/First Floor,80:24:8f:9e:91:00,ACCESS,17.9.3,12 days 3 hrs ,an hour ago,24:00:00,"FOC2542YL1S, FOC2604YK4M",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,345-210-a-1.net.uwa.edu.au,10.88.40.14,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,10,Global/CRAWLEY/345/Second Floor,b8:a3:77:8b:ad:00,ACCESS,17.9.3,12 days 2 hrs ,2 hours ago,24:00:00,"FOC2542YC9U, FOC2604YK7E, FOC2629YNGU",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,345-g01c-a-1.net.uwa.edu.au,10.88.40.12,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,8,Global/CRAWLEY/345/Ground Floor,80:24:8f:86:81:80,ACCESS,17.9.3,12 days 3 hrs ,2 minutes ago,24:00:00,"FOC2542YFXA, FOC2604YHLV, FOC2629YRGY",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,345-g01c-g-1.net.uwa.edu.au,10.88.40.10,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/345/Ground Floor,20:cf:ae:7b:68:a0,DISTRIBUTION,17.9.3,12 days 3 hrs ,13 hours ago,24:00:00,FDO25340D7U,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,346-215a-a-1.net.uwa.edu.au,10.88.40.1,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,8,Global/CRAWLEY/346/Second Floor,8c:94:1f:7b:55:00,ACCESS,17.9.3,12 days 3 hrs ,a minute ago,24:00:00,"FOC2443L9U9, FOC2443L9VK, FOC2443LA99, FOC2443LA75, FOC2443L4LV",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,347-234-a-1.net.uwa.edu.au,10.88.40.32,Switches and Hubs,Reachable,,Managed,COMPLIANT,8,Global/CRAWLEY/347/Second Floor,80:24:8f:57:6c:80,ACCESS,17.9.3,11 days 23 hrs ,4 hours ago,24:00:00,"FOC2542YCW2, FOC2542YKWC, FOC2542YPFV",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,4 months ago,,,,,,,Enabled,,PASSED
