Tags,Device Name,IP Address,Device Family,Site,Reachability,Support Type,MAC Address,Platform,Serial Number,Uptime,Last Updated,Resync Interval,Manageability,Device Role,Device Series,AP LED Flash Status,Advisories,Template Provision Status,Software Image,Template Conflict Status,Image Version,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,AP Zone Name,RF Profile,Policy Tag,Site Tag,Application Telemetry,Replacement Serial Number,Replace Status,Compliance,Integrity Verification,EoX Status,Health Score
"DP-Science,Edge-Node",329-192-a-1.net.uwa.edu.au,10.88.40.22,Switches and Hubs,Global/CRAWLEY/329/First Floor,Reachable,Supported,80:24:8f:59:a0:00,C9300L-48P-4X,FOC2542YFSN,122 days 5 hrs ,about 6 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
"DP-Science,Edge-Node",329-226-a-1.net.uwa.edu.au,10.88.40.23,Switches and Hubs,Global/CRAWLEY/329/Second Floor,Reachable,Supported,80:24:8f:86:7c:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-24P-4X","FOC2542YFYT, FOC2542YKYF, FOC2529LJQ8",122 days 5 hrs ,1 minute,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Science,Edge-Node",330-184a-a-1.net.uwa.edu.au,10.88.40.26,Switches and Hubs,Global/CRAWLEY/330/First Floor,Reachable,Supported,cc:ed:4d:f2:65:80,C9300L-24P-4X,FOC2604YHZ0,122 days 5 hrs ,about 6 hours,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Physics,Edge-Node",338-173-a-1.net.uwa.edu.au,10.88.24.28,Switches and Hubs,Global/CRAWLEY/338/First Floor,Reachable,Supported,18:59:f5:2e:41:00,"C9300L-48P-4X, C9300L-48P-4X","FOC2604YJVN, FOC2604YJ09",122 days 6 hrs ,4 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,10
"DP-Physics,Edge-Node",338-211-a-1.net.uwa.edu.au,10.88.24.55,Switches and Hubs,Global/CRAWLEY/338/Second Floor,Reachable,Supported,ac:bc:d9:0f:2b:80,"C9300L-48P-4X, C9300L-48P-4X","FOC2604YK6C, FOC2629YNEH",122 days 6 hrs ,11 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,2 alerts,10
"Aggregation Switch,DP-Physics",338-211-g-1.net.uwa.edu.au,10.88.24.32,Switches and Hubs,Global/CRAWLEY/338/Second Floor,Reachable,Supported,20:cf:ae:58:91:e0,C9500-24Y4C,FDO25340DBD,122 days 6 hrs ,about 6 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Not Provisioned,,,COMPLIANT,PASSED,1 alert,10
"DP-Physics,Edge-Node",338-g77-a-1.net.uwa.edu.au,10.88.24.37,Switches and Hubs,Global/CRAWLEY/338/Ground Floor,Reachable,Supported,14:a2:a0:87:84:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2604YK7T, FOC2629YRL8, FOC2630Y3CZ",122 days 6 hrs ,4 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Success,a day ago,,,,,,,,,,,Enabled,,,COMPLIANT,PASSED,1 alert,8
"DP-Science,Edge-Node",344-1117-a-1.net.uwa.edu.au,10.88.40.97,Switches and Hubs,Global/CRAWLEY/344/First Floor,Reachable,Supported,24:6c:84:08:f7:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2716YUVT, FOC2716YUT5, FOC2716YUSR, FOC2716YV9R, FOC2716YTDH",122 days 5 hrs ,about 1 hour,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,3 alerts,8
"DP-Science,Edge-Node",344-2111-a-1.net.uwa.edu.au,10.88.40.95,Switches and Hubs,Global/CRAWLEY/344/Second Floor,Reachable,Supported,4c:ec:0f:cf:f9:80,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2716YUVY, FOC2716YTCQ, FOC2716YTNH",19 days 6 hrs ,9 minutes,24:00:00,Managed,ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,3 alerts,8
"DP-Science,Edge-Node",344-2111-a-2.net.uwa.edu.au,10.88.40.96,Switches and Hubs,Global/CRAWLEY/344/Second Floor,Reachable,Supported,4c:ec:0f:c7:27:00,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X","FOC2716YV1U, FOC2716YV5M, FOC2716YUKP, FOC2716YTL5",19 days 6 hrs ,less than a minute,24:00:00,Managed (Syncing...),ACCESS,Cisco Catalyst 9300 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Enabled,,,NON_COMPLIANT,PASSED,3 alerts,8
"Aggregation Switch,DP-Science",344-2111-g-1.net.uwa.edu.au,10.88.40.93,Switches and Hubs,Global/CRAWLEY/344/Second Floor,Reachable,Supported,24:d5:e4:73:29:c0,C9500-24Y4C,FDO27500W8T,19 days 6 hrs ,about 6 hours,24:00:00,Managed,DISTRIBUTION,Cisco Catalyst 9500 Series Switches,Unsupported,3,,cat9k_iosxe.17.09.05.SPA.bin,,17.9.5,Device Uptodate,UPTODATE,Success,Success,Not Applied,a day ago,,,,,,,,,,,Not Provisioned,,,COMPLIANT,PASSED,1 alert,10
